a	l	m	k	s	t	E	u	r
2	8	8	0	12	59	7	74	0.229167
2	8	8	0	5	28	7	32	0.2
2	8	8	0	3	19	7	20	0.166667
2	8	8	0	2	14	6	14	0.125
2	8	8	0	19	86	7	114	0.25
2	8	8	0	1	8	6	8	0
2	8	8	0	1	8	5	8	0
2	8	8	0	7	38	7	44	0.214286
2	8	8	0	13	66	7	80	0.230769
2	8	8	0	3	19	7	20	0.166667
2	8	8	0	1	8	5	8	0
2	8	8	0	15	68	7	92	0.233333
2	8	8	0	20	86	7	116	0.275
2	8	8	0	2	14	6	14	0.125
2	8	8	0	11	55	7	68	0.227273
2	8	8	0	9	44	7	56	0.222222
2	8	8	0	2	14	7	14	0.125
2	8	8	0	7	37	6	44	0.214286
2	8	8	0	3	19	7	20	0.166667
2	8	8	0	10	52	7	62	0.225
2	8	8	0	6	32	6	38	0.208333
2	8	8	0	1	8	5	8	0
2	8	8	0	1	8	5	8	0
2	8	8	0	15	70	7	90	0.25
2	8	8	0	2	14	6	14	0.125
2	8	8	0	1	8	4	8	0
2	8	8	0	1	8	6	8	0
2	8	8	0	11	56	7	68	0.227273
2	8	8	0	10	53	7	62	0.225
2	8	8	0	5	28	6	32	0.2
2	8	8	0	1	8	5	8	0
2	8	8	0	22	89	7	134	0.238636
2	8	8	0	1	8	4	8	0
2	8	8	0	7	35	7	44	0.214286
2	8	8	0	9	43	7	56	0.222222
2	8	8	0	10	46	7	58	0.275
2	8	8	0	1	8	5	8	0
2	8	8	0	5	29	7	32	0.2
2	8	8	0	1	8	4	8	0
2	8	8	0	4	24	7	26	0.1875
2	8	8	0	13	63	7	80	0.230769
2	8	8	0	2	14	7	14	0.125
2	8	8	0	4	24	7	26	0.1875
2	8	8	0	1	8	5	8	0
2	8	8	0	1	8	4	8	0
2	8	8	0	4	23	7	26	0.1875
2	8	8	0	10	48	7	60	0.25
2	8	8	0	6	34	6	38	0.208333
2	8	8	0	2	14	4	14	0.125
2	8	8	0	9	47	7	56	0.222222
2	8	8	0	2	14	6	14	0.125
2	8	8	0	1	8	6	8	0
2	8	8	0	5	26	7	32	0.2
2	8	8	0	3	19	6	20	0.166667
2	8	8	0	2	14	7	14	0.125
2	8	8	0	2	14	5	14	0.125
2	8	8	0	9	44	7	56	0.222222
2	8	8	0	1	8	5	8	0
2	8	8	0	1	8	5	8	0
2	8	8	0	1	8	4	8	0
2	8	8	0	4	24	7	26	0.1875
2	8	8	0	3	19	6	20	0.166667
2	8	8	0	1	8	6	8	0
2	8	8	0	4	24	7	26	0.1875
2	8	8	0	3	19	6	20	0.166667
2	8	8	0	12	59	7	74	0.229167
2	8	8	0	8	42	7	50	0.21875
2	8	8	0	1	8	4	8	0
2	8	8	0	4	24	7	26	0.1875
2	8	8	0	14	61	7	84	0.25
2	8	8	0	34	133	7	192	0.294118
2	8	8	0	5	28	6	32	0.2
2	8	8	0	2	14	7	14	0.125
2	8	8	0	11	55	7	68	0.227273
2	8	8	0	1	8	4	8	0
2	8	8	0	1	8	6	8	0
2	8	8	0	2	14	5	14	0.125
2	8	8	0	14	66	7	84	0.25
2	8	8	0	2	14	6	14	0.125
